Binary,Event Type,Event
/usr/libexec/rapportd,notify_post,com.apple.rapport.CompanionLinkDeviceRemoved
/usr/libexec/rapportd,notify_post,com.apple.airplay.prefsChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.identitiesChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.familyFlagsChanged
/usr/libexec/rapportd,notify_post,com.apple.rapport.prefsChanged
/usr/libexec/mobileassetd,notify_post,com.apple.MobileAsset.DownloadsNotReady
/usr/libexec/mobileassetd,notify_post,com.apple.MobileAsset.DownloadsReady
/usr/libexec/sysdiagnose_helper,notify_post,com.apple.systemstats.sample-processes-now
/usr/libexec/sysdiagnose_helper,notify_register_dispatch,com.apple.systemstats.sample-processes-done
/usr/libexec/nesessionmanager,notify_post,com.apple.nesessionmanager.info
/usr/libexec/nesessionmanager,notify_post,com.apple.networkextension.fallback_in_use
/usr/bin/assetutil,notify_post,com.apple.coreui.statistics
/usr/bin/assetutil,notify_register_dispatch,com.apple.coreui.statistics
/usr/libexec/kextd,notify_post,com.apple.kext.load
/usr/libexec/kextd,notify_post,com.apple.kext.unload
/usr/libexec/wifivelocityd,notify_post,com.apple.bluetooth.status
/usr/libexec/wifivelocityd,notify_register_dispatch,com.apple.system.powersources.source
/usr/libexec/wifivelocityd,notify_register_dispatch,com.apple.system.powersources.lowbattery
/usr/libexec/wifivelocityd,notify_register_dispatch,com.apple.powermanagement.systempowerstate
/usr/libexec/defragx,notify_post,??
/usr/libexec/warmd,notify_post,com.apple.system.private.bootcache.optimization
/usr/libexec/warmd,notify_post,com.apple.system.private.bootcache.done
/usr/libexec/warmd,notify_register_check,com.apple.system.private.bootcache.optimization
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.desktopUp
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.loginUIUp
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.loginInitiated
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.likelyShutdown
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.logoutNoReturn
/usr/libexec/warmd,notify_register_dispatch,com.apple.system.loginwindow.shutdownNoReturn
